airline_handle,id_str,created_at,tweet,retweet_count,favorite_count,lang,in_reply_to_status_id_str,user_id_str,place_country_code,place_full_name,place_type
Delta,963236432088154112,Tue Feb 13 02:20:36 +0000 2018,RT @tweetbypremier: Delta expands service to Phoenix and Austin from Cincinnati @Delta  @DeltaNewsHub  @cvgairport  @AUStinAirport   @PHXSk…,2,0,en,,34702832,,,
Delta,963033129937186819,Mon Feb 12 12:52:45 +0000 2018,I usually love flying @Delta  but they cancelled our flight last night  moved it to today at 3pm  and wouldn’t help… https://t.co/Dgts4GGm78,0,0,en,,46494363,US,Queens  NY,city
Delta,962859499898929153,Mon Feb 12 01:22:48 +0000 2018,@Delta And about to be stuck in NC,0,0,en,962859419389349888,42031872,,,
Delta,962859444488036352,Mon Feb 12 01:22:35 +0000 2018,|@Delta #SHOUTOUT for fantastic #customerservice to these two gate agents: Derek / Tom!  

They have been working no… https://t.co/Hrf7kvkT6V|,0,0,en,,4659735921,,,
Delta,962859419389349888,Mon Feb 12 01:22:29 +0000 2018,Thanks again @Delta   2 out of 3 flights delayed over an hour. Rerouted .. 2 missed flights. And this. I’m gonna fi… https://t.co/CsWANbVLEV,0,0,en,,42031872,,,
Delta,962859414431633409,Mon Feb 12 01:22:28 +0000 2018,@domdelfino @Delta It’s in the profile,0,0,en,962849580206485504,15949408,,,
Delta,962859414284898304,Mon Feb 12 01:22:28 +0000 2018,Anytime I’ve ever had a prob w/a @Delta flight  they’re REAL quick to remedy it  from both the ground and corporate sides of the company.,0,0,en,962859406705741824,16197698,,,
Delta,962859406705741824,Mon Feb 12 01:22:26 +0000 2018,Honestly  this was #strike2 for @Americanairlines &amp; the last time I’ll be flying w/you. Never have probs like this w/@Delta ,0,0,en,962859400531709952,16197698,,,
Delta,962859091138961409,Mon Feb 12 01:21:11 +0000 2018,@delta Help me find a great fare from BOS/LGA/JFK 2/17-2/24 to someplace hot?  (Carribbean?)  Need 6 tickets.,0,0,en,,120627505,,,
Delta,962858706911268865,Mon Feb 12 01:19:39 +0000 2018,My flight from BUF to LGA is cancelled mid boarding process due to weather (in nyc).  When I get off the plane and… https://t.co/ckT140DFHI,0,0,en,,1331887152,,,
Delta,962858567136108545,Mon Feb 12 01:19:06 +0000 2018,So now @Delta   formerly one of the last bastions of consumer sanity  will charge you $30 each way to pick your sea… https://t.co/0mngNofk41,0,0,en,,19207323,,,
Delta,962858550669316096,Mon Feb 12 01:19:02 +0000 2018,@Delta is the absolute worst. Wife was trying to use her e-credit on a reservation via the phone and no one came on… https://t.co/xJL6hhnPGa,0,0,en,,24986018,US,Georgia  USA,admin
Delta,962858520780705793,Mon Feb 12 01:18:55 +0000 2018,RT @hrosas21: Two hour call wait  can’t select seats  and I am in standby on my send leg of my trip. I need to talk to someone @Delta ASAP!…,1,0,en,,33841072,,,
Delta,962858492464979968,Mon Feb 12 01:18:48 +0000 2018,Sure @delta I’ll sit back and relax on my 6hr flight after being stuck on plane for 3.5hrs while you fixed an issue… https://t.co/K584jEVRzk,0,1,en,,16909102,,,
Delta,962858355814551552,Mon Feb 12 01:18:15 +0000 2018,@Delta not your best week for me! 7 days  4 flights and 3 delays.  Flight attendants and now pilots!,0,0,en,,608665856,,,
Delta,962858240605384705,Mon Feb 12 01:17:48 +0000 2018,|This is a new one.... @Delta #Chicago flight to #Atlanta delayed due to ❄️FROZEN❄️ JET BRIDGE! 

Passengers can’t g… https://t.co/u1tMCnbypI|,0,0,en,,4659735921,,,
Delta,962857970890616832,Mon Feb 12 01:16:43 +0000 2018,@TheFullCharge @AmericanAir @Delta If it cancelled due to weather they won’t cover it.,0,0,en,962830335045226496,350208343,,,
Delta,962857892637487104,Mon Feb 12 01:16:25 +0000 2018,Can someone explain to me why a married couple's JOINT @Delta Skymiles Credit Card doesn't work toward the free bag… https://t.co/YvYtxaqvpj,0,0,en,,133799459,,,
Delta,962857668129050624,Mon Feb 12 01:15:31 +0000 2018,@CharlyCarusoWWE @Delta @ridanaser Is it national shitty airline experience day?,0,0,en,962835802270158848,144641476,,,
Delta,962857559702032384,Mon Feb 12 01:15:05 +0000 2018,@Delta Don’t see no peacock. That woulda helped.,0,0,en,962857031068631041,263945168,US,Kearny  NJ,city
Delta,962857522653745152,Mon Feb 12 01:14:57 +0000 2018,Two hour call wait  can’t select seats  and I am in standby on my send leg of my trip. I need to talk to someone… https://t.co/qFGyc1OeYa,1,0,en,,116669665,,,
Delta,962857517540892672,Mon Feb 12 01:14:55 +0000 2018,@Delta  you disappoint me. Flight DL6097 LGA-IND  flown with a damaged engine. I was afraid for my life. Today  as… https://t.co/edJvAuwx6e,0,0,en,,72886625,US,Indianapolis International Airport (IND),poi
Delta,962857511966728192,Mon Feb 12 01:14:54 +0000 2018,@Delta I tried to rebook my ticket on the app and it put me on the wrong flight.  Please help me.,0,0,en,,627008765,,,
Delta,962857174342033409,Mon Feb 12 01:13:34 +0000 2018,@CharlyCarusoWWE @Delta Never trust Delta,0,0,en,962835802270158848,858774967,,,
Delta,962856893084520448,Mon Feb 12 01:12:26 +0000 2018,Hey @delta boarded at 4:30p for my 5p flight JFK-SFO. Still sitting in the same seat at JFK over 3 hours later. Lef… https://t.co/7cs7nbSkh1,0,2,en,,32132155,,,
Delta,962856754123034625,Mon Feb 12 01:11:53 +0000 2018,First time I was ever on a cancelled flight.  Thank you @Delta for helping and taking care of my 10 @BCDTravel team and I! #stuckinNYC,0,2,en,,701976318,,,
Delta,962856689027506177,Mon Feb 12 01:11:38 +0000 2018,@Delta I need help rebooking my ticket,0,0,en,,627008765,,,
Delta,962856602620612609,Mon Feb 12 01:11:17 +0000 2018,|RT @justified_d: @Delta @airfrance 
Anybody out there  PLEASE HELP.

My bag was delayed due to "snow" in Paris. And I was told to come back…|,1,0,en,,886359677872873472,,,
